order_id,order_date,category,order_value,city,city_tier,warehouse,payment_method,dispatch_date,delivery_date,delivery_status,is_returned,return_initiated_date,return_reason,refund_completed_date,refund_status,refund_delay_days,sla_breach,order_to_dispatch_days,dispatch_to_delivery_days,total_delivery_days,delivery_to_return_days,order_month,order_month_name,order_day_of_week,price_bucket,return_window,is_metro,is_cod,supply_chain_failure,high_value
ORD770487,2024-10-31,Bottoms,1925,Nashik,Tier3,WH_Delhi,COD,2024-11-01,2024-11-07,Delivered,False,,,,,,,1,6.0,7.0,,10,October,Thursday,Mid (₹1-2K),,False,True,False,False
ORD850800,2025-03-18,Tops,1615,Mysore,Tier3,WH_Kolkata,COD,2025-03-19,2025-03-27,Delivered,False,,,,,,,1,8.0,9.0,,3,March,Tuesday,Mid (₹1-2K),,False,True,False,False
ORD988662,2024-12-30,Tops,1040,Coimbatore,Tier2,WH_Mumbai,Prepaid,2025-01-02,2025-01-06,Delivered,False,,,,,,,3,4.0,7.0,,12,December,Monday,Mid (₹1-2K),,False,False,False,False
ORD379946,2025-03-31,Accessories,445,Kochi,Tier2,WH_Hyderabad,Prepaid,2025-04-03,2025-04-12,Delivered,False,,,,,,,3,9.0,12.0,,3,March,Monday,Budget (<₹1K),,False,False,False,False
ORD520651,2024-12-10,Tops,931,Jaipur,Tier2,WH_Hyderabad,Prepaid,2024-12-13,2024-12-22,Delivered,False,,,,,,,3,9.0,12.0,,12,December,Tuesday,Budget (<₹1K),,False,False,False,False
ORD267753,2025-03-26,Tops,1720,Indore,Tier2,WH_Mumbai,Prepaid,2025-03-28,2025-04-04,Delivered,False,,,,,,,2,7.0,9.0,,3,March,Wednesday,Mid (₹1-2K),,False,False,False,False
ORD680099,2024-10-05,Tops,1975,Pune,Metro,WH_Mumbai,Prepaid,2024-10-08,2024-10-13,Delivered,False,,,,,,,3,5.0,8.0,,10,October,Saturday,Mid (₹1-2K),,True,False,False,False
ORD857168,2024-12-09,Tops,864,Hyderabad,Metro,WH_Hyderabad,COD,2024-12-10,2024-12-15,Delivered,False,,,,,,,1,5.0,6.0,,12,December,Monday,Budget (<₹1K),,True,True,False,False
ORD632323,2025-03-07,Footwear,1325,Lucknow,Tier2,WH_Bangalore,COD,2025-03-08,2025-03-16,Delivered,False,,,,,,,1,8.0,9.0,,3,March,Friday,Mid (₹1-2K),,False,True,False,False
ORD182582,2024-10-24,Tops,1494,Pune,Metro,WH_Mumbai,Prepaid,2024-10-27,2024-10-31,Delivered,False,,,,,,,3,4.0,7.0,,10,October,Thursday,Mid (₹1-2K),,True,False,False,False
ORD676510,2024-11-14,Tops,1579,Nagpur,Tier2,WH_Hyderabad,COD,2024-11-16,2024-11-24,Delivered,False,,,,,,,2,8.0,10.0,,11,November,Thursday,Mid (₹1-2K),,False,True,False,False
ORD823378,2024-11-23,Accessories,937,Pune,Metro,WH_Kolkata,Prepaid,2024-11-26,2024-12-02,Delivered,False,,,,,,,3,6.0,9.0,,11,November,Saturday,Budget (<₹1K),,True,False,False,False
ORD704201,2025-02-01,Tops,1467,Rajkot,Tier3,WH_Kolkata,Prepaid,2025-02-02,2025-02-13,Delivered,False,,,,,,,1,11.0,12.0,,2,February,Saturday,Mid (₹1-2K),,False,False,False,False
ORD179046,2025-01-24,Accessories,1426,Kolkata,Metro,WH_Kolkata,COD,2025-01-25,2025-02-01,Delivered,False,,,,,,,1,7.0,8.0,,1,January,Friday,Mid (₹1-2K),,True,True,False,False
ORD197793,2024-12-02,Tops,1331,Delhi,Metro,WH_Delhi,Prepaid,2024-12-04,2024-12-10,Delivered,False,,,,,,,2,6.0,8.0,,12,December,Monday,Mid (₹1-2K),,True,False,False,False
ORD272634,2025-01-08,Tops,1298,Mumbai,Metro,WH_Mumbai,Prepaid,2025-01-10,2025-01-17,Delivered,False,,,,,,,2,7.0,9.0,,1,January,Wednesday,Mid (₹1-2K),,True,False,False,False
ORD712554,2025-02-02,Tops,1586,Hyderabad,Metro,WH_Hyderabad,COD,2025-02-03,2025-02-06,Delivered,False,,,,,,,1,3.0,4.0,,2,February,Sunday,Mid (₹1-2K),,True,True,False,False
ORD204837,2024-10-21,Footwear,1572,Coimbatore,Tier2,WH_Hyderabad,Prepaid,2024-10-23,2024-10-29,Delivered,False,,,,,,,2,6.0,8.0,,10,October,Monday,Mid (₹1-2K),,False,False,False,False
ORD356150,2025-01-05,Bottoms,1445,Nagpur,Tier2,WH_Kolkata,COD,2025-01-08,2025-01-16,Delivered,False,,,,,,,3,8.0,11.0,,1,January,Sunday,Mid (₹1-2K),,False,True,False,False
ORD946305,2025-03-19,Tops,515,Hyderabad,Metro,WH_Hyderabad,COD,2025-03-21,2025-03-24,Delivered,False,,,,,,,2,3.0,5.0,,3,March,Wednesday,Budget (<₹1K),,True,True,False,False
ORD765046,2024-12-09,Bottoms,2800,Coimbatore,Tier2,WH_Bangalore,COD,2024-12-10,2024-12-17,Delivered,False,,,,,,,1,7.0,8.0,,12,December,Monday,Premium (₹2-3K),,False,True,False,True
ORD146228,2024-10-03,Footwear,1234,Bangalore,Metro,WH_Bangalore,Prepaid,2024-10-04,2024-10-11,Delivered,False,,,,,,,1,7.0,8.0,,10,October,Thursday,Mid (₹1-2K),,True,False,False,False
ORD482364,2024-10-13,Accessories,729,Raipur,Tier3,WH_Delhi,COD,2024-10-16,2024-10-28,Delivered,False,,,,,,,3,12.0,15.0,,10,October,Sunday,Budget (<₹1K),,False,True,False,False
ORD526117,2025-03-10,Tops,815,Pune,Metro,WH_Delhi,COD,2025-03-11,2025-03-15,Delivered,False,,,,,,,1,4.0,5.0,,3,March,Monday,Budget (<₹1K),,True,True,False,False
ORD125990,2024-11-17,Accessories,979,Mysore,Tier3,WH_Kolkata,COD,2024-11-20,2024-12-02,Delivered,False,,,,,,,3,12.0,15.0,,11,November,Sunday,Budget (<₹1K),,False,True,False,False
