order_id,order_date,category,order_value,city,city_tier,warehouse,payment_method,dispatch_date,delivery_date,delivery_status,is_returned,return_initiated_date,return_reason,refund_completed_date,refund_status,refund_delay_days,sla_breach,total_delivery_days,order_month,is_metro,supply_chain_failure
ORD770487,2024-10-31,Bottoms,1925,Nashik,Tier3,WH_Delhi,COD,2024-11-01,2024-11-07,Delivered,False,,,,,,,7.0,October,False,False
ORD671858,2024-10-25,Dresses,2727,Hyderabad,Metro,WH_Hyderabad,Prepaid,2024-10-26,2024-10-30,Delivered,True,2024-10-31,Size/Fit Issue,2024-11-06,Completed,6.0,False,5.0,October,True,False
ORD850800,2025-03-18,Tops,1615,Mysore,Tier3,WH_Kolkata,COD,2025-03-19,2025-03-27,Delivered,False,,,,,,,9.0,March,False,False
ORD106814,2024-11-12,Tops,1364,Pune,Metro,WH_Bangalore,Prepaid,2024-11-14,2024-11-19,Delivered,True,2024-11-26,Size/Fit Issue,2024-12-24,Pending,28.0,True,7.0,November,True,False
ORD988662,2024-12-30,Tops,1040,Coimbatore,Tier2,WH_Mumbai,Prepaid,2025-01-02,2025-01-06,Delivered,False,,,,,,,7.0,December,False,False
ORD496922,2024-10-23,Tops,1099,Hyderabad,Metro,WH_Hyderabad,Prepaid,2024-10-25,2024-10-28,Delivered,True,2024-11-01,Quality/Damage,2024-11-06,Completed,5.0,False,5.0,October,True,False
ORD183667,2024-12-01,Tops,705,Visakhapatnam,Tier2,WH_Kolkata,Prepaid,2024-12-03,2024-12-09,Delivered,True,2024-12-15,Size/Fit Issue,2024-12-16,Completed,1.0,False,8.0,December,False,False
ORD379946,2025-03-31,Accessories,445,Kochi,Tier2,WH_Hyderabad,Prepaid,2025-04-03,2025-04-12,Delivered,False,,,,,,,12.0,March,False,False
ORD584714,2025-01-08,Tops,1809,Nagpur,Tier2,WH_Hyderabad,Prepaid,2025-01-09,2025-01-13,Delivered,True,2025-01-14,Size/Fit Issue,2025-01-17,Completed,3.0,False,5.0,January,False,False
ORD520651,2024-12-10,Tops,931,Jaipur,Tier2,WH_Hyderabad,Prepaid,2024-12-13,2024-12-22,Delivered,False,,,,,,,12.0,December,False,False
ORD774079,2025-01-28,Bottoms,1883,Delhi,Metro,WH_Delhi,Prepaid,2025-01-29,2025-02-05,Delivered,True,2025-02-15,Color Mismatch,2025-02-20,Completed,5.0,False,8.0,January,True,False
ORD711878,2025-01-13,Accessories,748,Raipur,Tier3,WH_Delhi,Prepaid,2025-01-16,2025-01-28,Delivered,True,2025-01-30,Changed Mind,2025-02-03,Completed,4.0,False,15.0,January,False,False
ORD267753,2025-03-26,Tops,1720,Indore,Tier2,WH_Mumbai,Prepaid,2025-03-28,2025-04-04,Delivered,False,,,,,,,9.0,March,False,False
ORD680099,2024-10-05,Tops,1975,Pune,Metro,WH_Mumbai,Prepaid,2024-10-08,2024-10-13,Delivered,False,,,,,,,8.0,October,True,False
ORD456699,2024-10-31,Footwear,2479,Bangalore,Metro,WH_Bangalore,COD,2024-11-02,,Lost in Transit,False,,,,,,,,October,True,True
ORD857168,2024-12-09,Tops,864,Hyderabad,Metro,WH_Hyderabad,COD,2024-12-10,2024-12-15,Delivered,False,,,,,,,6.0,December,True,False
ORD632323,2025-03-07,Footwear,1325,Lucknow,Tier2,WH_Bangalore,COD,2025-03-08,2025-03-16,Delivered,False,,,,,,,9.0,March,False,False
ORD728038,2024-12-24,Tops,538,Chennai,Metro,WH_Bangalore,Prepaid,2024-12-26,2024-12-31,Delivered,True,2025-01-04,Changed Mind,2025-01-08,Completed,4.0,False,7.0,December,True,False
ORD182582,2024-10-24,Tops,1494,Pune,Metro,WH_Mumbai,Prepaid,2024-10-27,2024-10-31,Delivered,False,,,,,,,7.0,October,True,False
ORD676510,2024-11-14,Tops,1579,Nagpur,Tier2,WH_Hyderabad,COD,2024-11-16,2024-11-24,Delivered,False,,,,,,,10.0,November,False,False
ORD823378,2024-11-23,Accessories,937,Pune,Metro,WH_Kolkata,Prepaid,2024-11-26,2024-12-02,Delivered,False,,,,,,,9.0,November,True,False
ORD573417,2024-11-02,Footwear,1619,Lucknow,Tier2,WH_Mumbai,Prepaid,2024-11-04,,RTO,False,,,,,,,,November,False,True
ORD680828,2024-11-30,Tops,950,Hyderabad,Metro,WH_Hyderabad,COD,2024-12-01,2024-12-04,Delivered,True,2024-12-19,Size/Fit Issue,2025-01-08,Pending,20.0,True,4.0,November,True,False
ORD446479,2024-10-21,Dresses,1973,Coimbatore,Tier2,WH_Bangalore,Prepaid,2024-10-24,2024-11-01,Delivered,True,2024-11-16,Wrong Product Shipped,2024-11-20,Completed,4.0,False,11.0,October,False,False
ORD704201,2025-02-01,Tops,1467,Rajkot,Tier3,WH_Kolkata,Prepaid,2025-02-02,2025-02-13,Delivered,False,,,,,,,12.0,February,False,False
ORD544154,2025-01-16,Dresses,3985,Bhubaneswar,Tier3,WH_Mumbai,COD,2025-01-19,2025-01-30,Delivered,True,2025-02-06,Size/Fit Issue,2025-02-08,Completed,2.0,False,14.0,January,False,False
ORD939482,2024-10-30,Bottoms,1583,Rajkot,Tier3,WH_Delhi,Prepaid,2024-11-02,2024-11-11,Delivered,True,2024-11-19,Size/Fit Issue,2024-11-21,Completed,2.0,False,12.0,October,False,False
ORD179046,2025-01-24,Accessories,1426,Kolkata,Metro,WH_Kolkata,COD,2025-01-25,2025-02-01,Delivered,False,,,,,,,8.0,January,True,False
ORD197793,2024-12-02,Tops,1331,Delhi,Metro,WH_Delhi,Prepaid,2024-12-04,2024-12-10,Delivered,False,,,,,,,8.0,December,True,False
ORD272634,2025-01-08,Tops,1298,Mumbai,Metro,WH_Mumbai,Prepaid,2025-01-10,2025-01-17,Delivered,False,,,,,,,9.0,January,True,False
ORD610311,2024-11-11,Dresses,2214,Delhi,Metro,WH_Delhi,Prepaid,2024-11-12,2024-11-19,Delivered,True,2024-11-25,Size/Fit Issue,2024-12-12,Pending,17.0,True,8.0,November,True,False
ORD712554,2025-02-02,Tops,1586,Hyderabad,Metro,WH_Hyderabad,COD,2025-02-03,2025-02-06,Delivered,False,,,,,,,4.0,February,True,False
ORD171849,2025-03-04,Footwear,3464,Mumbai,Metro,WH_Mumbai,COD,2025-03-06,2025-03-13,Delivered,True,2025-03-23,Size/Fit Issue,2025-04-16,Pending,24.0,True,9.0,March,True,False
ORD185965,2025-01-18,Dresses,3389,Pune,Metro,WH_Hyderabad,Prepaid,2025-01-21,2025-01-26,Delivered,True,2025-02-07,Wrong Product Shipped,2025-02-12,Completed,5.0,False,8.0,January,True,False
ORD378517,2025-01-12,Tops,1874,Delhi,Metro,WH_Delhi,Prepaid,2025-01-14,2025-01-17,Delivered,True,2025-01-27,Quality/Damage,2025-02-02,Completed,6.0,False,5.0,January,True,False
ORD204837,2024-10-21,Footwear,1572,Coimbatore,Tier2,WH_Hyderabad,Prepaid,2024-10-23,2024-10-29,Delivered,False,,,,,,,8.0,October,False,False
ORD356150,2025-01-05,Bottoms,1445,Nagpur,Tier2,WH_Kolkata,COD,2025-01-08,2025-01-16,Delivered,False,,,,,,,11.0,January,False,False
ORD946305,2025-03-19,Tops,515,Hyderabad,Metro,WH_Hyderabad,COD,2025-03-21,2025-03-24,Delivered,False,,,,,,,5.0,March,True,False
ORD240814,2024-12-09,Footwear,1137,Mumbai,Metro,WH_Mumbai,Prepaid,2024-12-10,2024-12-17,Delivered,True,2024-12-23,Changed Mind,2024-12-28,Completed,5.0,False,8.0,December,True,False
ORD765046,2024-12-09,Bottoms,2800,Coimbatore,Tier2,WH_Bangalore,COD,2024-12-10,2024-12-17,Delivered,False,,,,,,,8.0,December,False,False
ORD146228,2024-10-03,Footwear,1234,Bangalore,Metro,WH_Bangalore,Prepaid,2024-10-04,2024-10-11,Delivered,False,,,,,,,8.0,October,True,False
ORD688153,2024-10-05,Dresses,1307,Mumbai,Metro,WH_Mumbai,Prepaid,2024-10-08,,Lost in Transit,False,,,,,,,,October,True,True
ORD487151,2025-03-01,Bottoms,1405,Hyderabad,Metro,WH_Hyderabad,COD,2025-03-02,,Damaged in Transit,False,,,,,,,,March,True,True
ORD482364,2024-10-13,Accessories,729,Raipur,Tier3,WH_Delhi,COD,2024-10-16,2024-10-28,Delivered,False,,,,,,,15.0,October,False,False
ORD526117,2025-03-10,Tops,815,Pune,Metro,WH_Delhi,COD,2025-03-11,2025-03-15,Delivered,False,,,,,,,5.0,March,True,False
ORD125990,2024-11-17,Accessories,979,Mysore,Tier3,WH_Kolkata,COD,2024-11-20,2024-12-02,Delivered,False,,,,,,,15.0,November,False,False
ORD266931,2025-03-31,Dresses,2565,Mumbai,Metro,WH_Mumbai,Prepaid,2025-04-02,2025-04-08,Delivered,True,2025-04-22,Changed Mind,2025-04-28,Completed,6.0,False,8.0,March,True,False
ORD338651,2024-11-29,Tops,1850,Mumbai,Metro,WH_Mumbai,COD,2024-12-01,2024-12-04,Delivered,False,,,,,,,5.0,November,True,False
ORD392683,2024-12-31,Dresses,3085,Pune,Metro,WH_Kolkata,COD,2025-01-03,2025-01-10,Delivered,True,2025-01-11,Size/Fit Issue,2025-01-12,Completed,1.0,False,10.0,December,True,False
ORD373903,2024-11-17,Footwear,1786,Coimbatore,Tier2,WH_Mumbai,COD,2024-11-18,2024-11-24,Delivered,False,,,,,,,7.0,November,False,False
ORD428914,2025-01-22,Dresses,3093,Coimbatore,Tier2,WH_Mumbai,Prepaid,2025-01-24,2025-01-29,Delivered,True,2025-02-10,Size/Fit Issue,2025-02-12,Completed,2.0,False,7.0,January,False,False
