order_id,order_date,category,order_value,city,city_tier,warehouse,payment_method,dispatch_date,delivery_date,delivery_status,is_returned,return_initiated_date,return_reason,refund_completed_date,refund_status,refund_delay_days,sla_breach,total_delivery_days,order_month,is_metro,supply_chain_failure
ORD671858,2024-10-25,Dresses,2727,Hyderabad,Metro,WH_Hyderabad,Prepaid,2024-10-26,2024-10-30,Delivered,True,2024-10-31,Size/Fit Issue,2024-11-06,Completed,6.0,False,5.0,October,True,False
ORD106814,2024-11-12,Tops,1364,Pune,Metro,WH_Bangalore,Prepaid,2024-11-14,2024-11-19,Delivered,True,2024-11-26,Size/Fit Issue,2024-12-24,Pending,28.0,True,7.0,November,True,False
ORD496922,2024-10-23,Tops,1099,Hyderabad,Metro,WH_Hyderabad,Prepaid,2024-10-25,2024-10-28,Delivered,True,2024-11-01,Quality/Damage,2024-11-06,Completed,5.0,False,5.0,October,True,False
ORD183667,2024-12-01,Tops,705,Visakhapatnam,Tier2,WH_Kolkata,Prepaid,2024-12-03,2024-12-09,Delivered,True,2024-12-15,Size/Fit Issue,2024-12-16,Completed,1.0,False,8.0,December,False,False
ORD584714,2025-01-08,Tops,1809,Nagpur,Tier2,WH_Hyderabad,Prepaid,2025-01-09,2025-01-13,Delivered,True,2025-01-14,Size/Fit Issue,2025-01-17,Completed,3.0,False,5.0,January,False,False
ORD774079,2025-01-28,Bottoms,1883,Delhi,Metro,WH_Delhi,Prepaid,2025-01-29,2025-02-05,Delivered,True,2025-02-15,Color Mismatch,2025-02-20,Completed,5.0,False,8.0,January,True,False
ORD711878,2025-01-13,Accessories,748,Raipur,Tier3,WH_Delhi,Prepaid,2025-01-16,2025-01-28,Delivered,True,2025-01-30,Changed Mind,2025-02-03,Completed,4.0,False,15.0,January,False,False
ORD728038,2024-12-24,Tops,538,Chennai,Metro,WH_Bangalore,Prepaid,2024-12-26,2024-12-31,Delivered,True,2025-01-04,Changed Mind,2025-01-08,Completed,4.0,False,7.0,December,True,False
ORD680828,2024-11-30,Tops,950,Hyderabad,Metro,WH_Hyderabad,COD,2024-12-01,2024-12-04,Delivered,True,2024-12-19,Size/Fit Issue,2025-01-08,Pending,20.0,True,4.0,November,True,False
ORD446479,2024-10-21,Dresses,1973,Coimbatore,Tier2,WH_Bangalore,Prepaid,2024-10-24,2024-11-01,Delivered,True,2024-11-16,Wrong Product Shipped,2024-11-20,Completed,4.0,False,11.0,October,False,False
ORD544154,2025-01-16,Dresses,3985,Bhubaneswar,Tier3,WH_Mumbai,COD,2025-01-19,2025-01-30,Delivered,True,2025-02-06,Size/Fit Issue,2025-02-08,Completed,2.0,False,14.0,January,False,False
ORD939482,2024-10-30,Bottoms,1583,Rajkot,Tier3,WH_Delhi,Prepaid,2024-11-02,2024-11-11,Delivered,True,2024-11-19,Size/Fit Issue,2024-11-21,Completed,2.0,False,12.0,October,False,False
ORD610311,2024-11-11,Dresses,2214,Delhi,Metro,WH_Delhi,Prepaid,2024-11-12,2024-11-19,Delivered,True,2024-11-25,Size/Fit Issue,2024-12-12,Pending,17.0,True,8.0,November,True,False
ORD171849,2025-03-04,Footwear,3464,Mumbai,Metro,WH_Mumbai,COD,2025-03-06,2025-03-13,Delivered,True,2025-03-23,Size/Fit Issue,2025-04-16,Pending,24.0,True,9.0,March,True,False
ORD185965,2025-01-18,Dresses,3389,Pune,Metro,WH_Hyderabad,Prepaid,2025-01-21,2025-01-26,Delivered,True,2025-02-07,Wrong Product Shipped,2025-02-12,Completed,5.0,False,8.0,January,True,False
ORD378517,2025-01-12,Tops,1874,Delhi,Metro,WH_Delhi,Prepaid,2025-01-14,2025-01-17,Delivered,True,2025-01-27,Quality/Damage,2025-02-02,Completed,6.0,False,5.0,January,True,False
ORD240814,2024-12-09,Footwear,1137,Mumbai,Metro,WH_Mumbai,Prepaid,2024-12-10,2024-12-17,Delivered,True,2024-12-23,Changed Mind,2024-12-28,Completed,5.0,False,8.0,December,True,False
ORD266931,2025-03-31,Dresses,2565,Mumbai,Metro,WH_Mumbai,Prepaid,2025-04-02,2025-04-08,Delivered,True,2025-04-22,Changed Mind,2025-04-28,Completed,6.0,False,8.0,March,True,False
ORD392683,2024-12-31,Dresses,3085,Pune,Metro,WH_Kolkata,COD,2025-01-03,2025-01-10,Delivered,True,2025-01-11,Size/Fit Issue,2025-01-12,Completed,1.0,False,10.0,December,True,False
ORD428914,2025-01-22,Dresses,3093,Coimbatore,Tier2,WH_Mumbai,Prepaid,2025-01-24,2025-01-29,Delivered,True,2025-02-10,Size/Fit Issue,2025-02-12,Completed,2.0,False,7.0,January,False,False
ORD282480,2025-03-09,Tops,1115,Hyderabad,Metro,WH_Hyderabad,COD,2025-03-12,2025-03-17,Delivered,True,2025-03-24,Size/Fit Issue,2025-03-25,Completed,1.0,False,8.0,March,True,False
